,Ingredient,numTimes
905,quarter,6
906,petit,6
907,grana,6
908,cm,6
909,drink,6
910,seeded,6
911,decorations,6
912,pla,6
913,fromage,6
914,oz,6
915,crumble,6
916,charlotte,6
917,guinness,6
918,bars,6
919,farfalle,6
920,portions,6
921,ready-rolled,6
922,gherkin,6
923,tartare,6
924,handfuls,6
925,then,6
926,sachets,6
927,venison,6
928,ripened,6
929,borlotti,6
930,padano,6
931,fed,6
932,el,6
933,core,6
934,crab,6
935,bulb,6
936,preserve,6
937,diet,6
938,vacuum-packed,6
939,nam,6
940,line,6
941,square,6
942,frais,6
943,polenta,6
944,skins,6
945,cashews,6
946,clotted,6
947,good-quality,5
948,meringues,5
949,heads,5
950,truvia,5
951,hoisin,5
952,bright,5
953,make,5
954,lea,5
955,tofu,5
956,aromatico,5
957,shavings,5
958,flower,5
959,all-butter,5
960,american,5
961,suet,5
962,provence,5
963,micro,5
964,colmans,5
965,pittas,5
966,decoration,5
967,bulbs,5
968,swiss,5
969,tartar,5
970,semi,5
971,concentrate,5
972,be,5
973,strands,5
974,tzatziki,5
975,emmental,5
976,sumac,5
977,simply,5
978,artichokes,5
979,pure?e,5
980,picked,5
981,madras,5
982,mincemeat,5
983,approximately,5
984,meringue,5
985,gutted,5
986,rosewater,5
987,barley,5
988,purple,5
989,slivers,5
990,north,5
991,poppadums,5
992,nests,5
993,scot,5
994,according,5
995,popcorn,5
996,poached,5
997,stewing,5
998,typically,5
999,packed,5
1000,season,5
1001,pois,5
1002,splash,5
1003,crisps,5
1004,wok,5
1005,macadamia,5
1006,segments,5
1007,rub,5
1008,goat’s,5
1009,sunfower,5
1010,frylight,5
1011,petals,5
1012,goose,5
1013,shiitake,5
1014,hartleys,5
1015,squeezy,5
1016,prunes,5
1017,scrubbed,5
1018,tikka,5
1019,muffin,5
1020,wings,5
1021,perrins,5
1022,muffins,5
1023,atlantic,5
1024,dominican,5
1025,semolina,5
1026,whisky,5
1027,total,5
1028,rings,5
1029,sugarsnap,5
1030,rigatoni,5
1031,bass,5
1032,caesar,5
1033,frai?che,5
1034,celeriac,5
1035,prime,5
1036,plaice,5
